date,time,open,high,low,close,volume
2021-10-14,07:15,1.36666,1.36671,1.36656,1.36660,286
2021-10-14,07:30,1.36659,1.36664,1.36634,1.36636,360
2021-10-14,07:45,1.36635,1.36662,1.36633,1.36638,376
2021-10-14,08:00,1.36638,1.36639,1.36622,1.36626,345
2021-10-14,08:15,1.36626,1.36637,1.36607,1.36607,184
2021-10-14,08:30,1.36606,1.36677,1.36605,1.36657,466
2021-10-14,08:45,1.36657,1.36682,1.36646,1.36663,506
2021-10-14,09:00,1.36665,1.36745,1.36645,1.36745,1653
2021-10-14,09:15,1.36746,1.36832,1.36738,1.36809,1828
2021-10-14,09:30,1.36809,1.36845,1.36778,1.36821,1286
2021-10-14,09:45,1.36820,1.36880,1.36798,1.36871,1541
2021-10-14,10:00,1.36871,1.36944,1.36832,1.36941,2005
2021-10-14,10:15,1.36940,1.36989,1.36937,1.36959,1652
2021-10-14,10:30,1.36958,1.36980,1.36909,1.36928,1501
2021-10-14,10:45,1.36928,1.36969,1.36864,1.36967,1298
2021-10-14,11:00,1.36967,1.36993,1.36954,1.36981,1628
2021-10-14,11:15,1.36982,1.37025,1.36959,1.36988,1233
2021-10-14,11:30,1.36988,1.37135,1.36988,1.37108,1549
2021-10-14,11:45,1.37108,1.37177,1.37086,1.37118,1664
2021-10-14,12:00,1.37118,1.37191,1.37118,1.37156,1317
2021-10-14,12:15,1.37155,1.37247,1.37106,1.37228,1962
2021-10-14,12:30,1.37228,1.37238,1.37140,1.37229,1807
2021-10-14,12:45,1.37228,1.37241,1.37156,1.37227,1220
2021-10-14,13:00,1.37227,1.37341,1.37180,1.37335,1612
2021-10-14,13:15,1.37338,1.37338,1.37198,1.37206,1124
2021-10-14,13:30,1.37205,1.37208,1.37128,1.37153,1181
2021-10-14,13:45,1.37153,1.37216,1.37080,1.37102,1288
2021-10-14,14:00,1.37102,1.37250,1.37068,1.37181,1622
2021-10-14,14:15,1.37181,1.37257,1.37176,1.37209,1336
2021-10-14,14:30,1.37209,1.37227,1.37148,1.37187,1262
2021-10-14,14:45,1.37182,1.37188,1.37109,1.37158,1072
2021-10-14,15:00,1.37157,1.37197,1.37107,1.37109,1226
2021-10-14,15:15,1.37112,1.37126,1.36994,1.36996,1582
2021-10-14,15:30,1.36996,1.37120,1.36996,1.37094,2448
2021-10-14,15:45,1.37095,1.37183,1.37067,1.37158,1660
2021-10-14,16:00,1.37157,1.37189,1.37051,1.37078,2182
2021-10-14,16:15,1.37069,1.37114,1.36975,1.37081,1802
2021-10-14,16:30,1.37082,1.37125,1.36945,1.36967,2450
2021-10-14,16:45,1.36966,1.37051,1.36924,1.37011,2288
2021-10-14,17:00,1.37017,1.37090,1.37003,1.37069,1829
2021-10-14,17:15,1.37069,1.37121,1.36997,1.37013,1611
2021-10-14,17:30,1.37015,1.37015,1.36936,1.36939,1462
2021-10-14,17:45,1.36939,1.36995,1.36786,1.36836,2348
2021-10-14,18:00,1.36835,1.36855,1.36754,1.36761,1924
2021-10-14,18:15,1.36761,1.36835,1.36754,1.36786,1763
2021-10-14,18:30,1.36788,1.36813,1.36752,1.36812,1681
2021-10-14,18:45,1.36811,1.36864,1.36800,1.36844,1810
2021-10-14,19:00,1.36843,1.36912,1.36834,1.36894,1844
2021-10-14,19:15,1.36895,1.36895,1.36838,1.36874,1178
2021-10-14,19:30,1.36875,1.36883,1.36788,1.36804,1112
2021-10-14,19:45,1.36808,1.36852,1.36772,1.36849,1205
2021-10-14,20:00,1.36848,1.36848,1.36779,1.36798,975
2021-10-14,20:15,1.36798,1.36806,1.36780,1.36792,781
2021-10-14,20:30,1.36792,1.36822,1.36791,1.36809,790
2021-10-14,20:45,1.36810,1.36835,1.36782,1.36802,759
2021-10-14,21:00,1.36802,1.36844,1.36791,1.36811,1053
2021-10-14,21:15,1.36810,1.36843,1.36809,1.36832,956
2021-10-14,21:30,1.36831,1.36857,1.36821,1.36842,786
2021-10-14,21:45,1.36842,1.36870,1.36830,1.36859,1116
2021-10-14,22:00,1.36859,1.36864,1.36818,1.36820,821
2021-10-14,22:15,1.36821,1.36832,1.36813,1.36825,656
2021-10-14,22:30,1.36825,1.36877,1.36818,1.36876,1276
2021-10-14,22:45,1.36876,1.36876,1.36702,1.36714,1712
2021-10-14,23:00,1.36714,1.36752,1.36673,1.36741,857
2021-10-14,23:15,1.36742,1.36768,1.36736,1.36741,388
2021-10-14,23:30,1.36740,1.36746,1.36715,1.36739,245
2021-10-14,23:45,1.36732,1.36741,1.36705,1.36714,404
2021-10-15,00:00,1.36704,1.36704,1.36701,1.36701,10
2021-10-15,00:15,1.36709,1.36719,1.36696,1.36715,33
2021-10-15,00:30,1.36716,1.36734,1.36713,1.36715,121
2021-10-15,00:45,1.36724,1.36741,1.36714,1.36717,219
2021-10-15,01:00,1.36721,1.36753,1.36704,1.36750,242
2021-10-15,01:15,1.36751,1.36755,1.36744,1.36747,296
2021-10-15,01:30,1.36747,1.36757,1.36730,1.36750,323
2021-10-15,01:45,1.36751,1.36758,1.36730,1.36731,182
2021-10-15,02:00,1.36730,1.36761,1.36730,1.36759,187
2021-10-15,02:15,1.36759,1.36759,1.36724,1.36730,300
2021-10-15,02:30,1.36731,1.36731,1.36680,1.36699,287
2021-10-15,02:45,1.36700,1.36702,1.36675,1.36679,413
2021-10-15,03:00,1.36679,1.36721,1.36678,1.36702,610
2021-10-15,03:15,1.36700,1.36717,1.36685,1.36706,715
2021-10-15,03:30,1.36707,1.36753,1.36695,1.36744,452
2021-10-15,03:45,1.36743,1.36769,1.36739,1.36766,659
2021-10-15,04:00,1.36767,1.36777,1.36755,1.36766,439
2021-10-15,04:15,1.36766,1.36807,1.36765,1.36794,680
2021-10-15,04:30,1.36795,1.36812,1.36763,1.36781,797
2021-10-15,04:45,1.36781,1.36781,1.36724,1.36738,562
2021-10-15,05:00,1.36740,1.36752,1.36703,1.36736,556
2021-10-15,05:15,1.36739,1.36813,1.36737,1.36809,569
2021-10-15,05:30,1.36809,1.36825,1.36795,1.36823,536
2021-10-15,05:45,1.36823,1.36871,1.36805,1.36857,614
2021-10-15,06:00,1.36857,1.36881,1.36835,1.36879,603
2021-10-15,06:15,1.36880,1.36881,1.36857,1.36859,384
2021-10-15,06:30,1.36858,1.36861,1.36838,1.36838,371
2021-10-15,06:45,1.36840,1.36860,1.36835,1.36849,357
2021-10-15,07:00,1.36849,1.36857,1.36839,1.36848,344
2021-10-15,07:15,1.36847,1.36881,1.36842,1.36875,436
2021-10-15,07:30,1.36875,1.36885,1.36860,1.36861,381
2021-10-15,07:45,1.36862,1.36880,1.36847,1.36859,414
2021-10-15,08:00,1.36859,1.36860,1.36837,1.36860,747
2021-10-15,08:15,1.36860,1.36870,1.36842,1.36861,644
2021-10-15,08:30,1.36861,1.36861,1.36813,1.36817,741
2021-10-15,08:45,1.36813,1.36822,1.36743,1.36770,788
2021-10-15,09:00,1.36771,1.36858,1.36747,1.36858,1321
2021-10-15,09:15,1.36859,1.36867,1.36759,1.36813,1172
2021-10-15,09:30,1.36812,1.36853,1.36786,1.36826,1562
2021-10-15,09:45,1.36822,1.36994,1.36812,1.36981,1980
2021-10-15,10:00,1.36982,1.37147,1.36958,1.37121,2185
2021-10-15,10:15,1.37121,1.37217,1.37085,1.37203,2216
2021-10-15,10:30,1.37202,1.37232,1.37145,1.37177,1891
2021-10-15,10:45,1.37176,1.37285,1.37155,1.37181,2185
